customer_id,email,registration_date,age_group,region,tier
CUST0054,customer54@example.com,2025-01-23T17:39:40.644744,26-35,South,Bronze
CUST0055,customer55@example.com,2025-02-19T17:39:40.644749,36-45,North,Bronze
CUST0056,customer56@example.com,2025-06-23T17:39:40.644755,46-55,West,Gold
CUST0057,customer57@example.com,2025-03-05T17:39:40.644760,36-45,North,Bronze
CUST0058,customer58@example.com,2024-12-25T17:39:40.644765,36-45,North,Gold
CUST0059,customer59@example.com,2025-07-15T17:39:40.644851,18-25,South,Platinum
CUST0060,customer60@example.com,2024-10-02T17:39:40.644872,18-25,East,Silver
CUST0061,customer61@example.com,2025-06-09T17:39:40.644881,56+,East,Bronze
CUST0062,customer62@example.com,2025-01-13T17:39:40.644888,36-45,North,Platinum
CUST0063,customer63@example.com,2025-07-03T17:39:40.644894,36-45,South,Silver
CUST0064,customer64@example.com,2025-03-25T17:39:40.644900,46-55,North,Silver
CUST0065,customer65@example.com,2024-12-27T17:39:40.644906,46-55,East,Silver
CUST0066,customer66@example.com,2024-10-13T17:39:40.644913,26-35,North,Silver
CUST0067,customer67@example.com,2025-07-15T17:39:40.644919,26-35,North,Gold
CUST0068,customer68@example.com,2025-05-23T17:39:40.644925,36-45,North,Platinum
CUST0069,customer69@example.com,2025-02-23T17:39:40.644931,56+,East,Bronze
CUST0070,customer70@example.com,2024-12-30T17:39:40.644937,18-25,East,Gold
CUST0071,customer71@example.com,2025-01-01T17:39:40.644953,46-55,South,Silver
CUST0072,customer72@example.com,2025-02-04T17:39:40.644961,26-35,West,Silver
CUST0073,customer73@example.com,2025-08-07T17:39:40.644967,36-45,East,Gold
CUST0074,customer74@example.com,2025-03-27T17:39:40.644972,56+,North,Gold
CUST0075,customer75@example.com,2025-02-05T17:39:40.644978,56+,North,Silver
CUST0076,customer76@example.com,2024-12-02T17:39:40.644984,36-45,North,Gold
CUST0077,customer77@example.com,2025-06-05T17:39:40.644989,46-55,West,Platinum
CUST0078,customer78@example.com,2025-07-03T17:39:40.644997,26-35,North,Platinum
CUST0079,customer79@example.com,2024-11-15T17:39:40.645010,18-25,South,Gold
CUST0080,customer80@example.com,2025-02-25T17:39:40.645025,46-55,West,Bronze
CUST0081,customer81@example.com,2025-06-16T17:39:40.645034,56+,West,Platinum
CUST0082,customer82@example.com,2024-12-02T17:39:40.645040,56+,North,Gold
CUST0083,customer83@example.com,2024-10-10T17:39:40.645046,46-55,North,Gold
CUST0084,customer84@example.com,2025-05-18T17:39:40.645052,56+,North,Platinum
CUST0085,customer85@example.com,2024-09-24T17:39:40.645058,18-25,North,Gold
CUST0086,customer86@example.com,2024-11-22T17:39:40.645064,26-35,West,Platinum
CUST0087,customer87@example.com,2024-09-23T17:39:40.645070,56+,East,Bronze
CUST0088,customer88@example.com,2024-11-29T17:39:40.645075,26-35,South,Bronze
CUST0089,customer89@example.com,2025-06-23T17:39:40.645080,56+,West,Bronze
CUST0090,customer90@example.com,2025-01-16T17:39:40.645085,18-25,North,Gold
CUST0091,customer91@example.com,2025-08-09T17:39:40.645091,56+,South,Platinum
CUST0092,customer92@example.com,2025-05-08T17:39:40.645096,18-25,West,Silver
CUST0093,customer93@example.com,2024-11-18T17:39:40.645101,56+,West,Bronze
CUST0094,customer94@example.com,2025-06-06T17:39:40.645108,56+,East,Bronze
CUST0095,customer95@example.com,2025-06-13T17:39:40.645114,36-45,West,Silver
CUST0096,customer96@example.com,2025-06-11T17:39:40.645119,18-25,West,Bronze
CUST0097,customer97@example.com,2024-09-27T17:39:40.645125,18-25,West,Platinum
CUST0098,customer98@example.com,2025-08-14T17:39:40.645137,18-25,West,Platinum
CUST0099,customer99@example.com,2024-12-06T17:39:40.645145,56+,East,Bronze
CUST0100,customer100@example.com,2024-12-06T17:39:40.645151,36-45,East,Bronze
